Year,Value,Territory
2019,59.33166667,M.D. of Ranchland No. 66
2020,46.235,M.D. of Ranchland No. 66
2021,52.4375,M.D. of Ranchland No. 66
2022,51.78166667,M.D. of Ranchland No. 66
2023,43.13166667,M.D. of Ranchland No. 66
2024,60.43666667,M.D. of Ranchland No. 66
2012,42.5725,M.D. of Smoky River No. 130
2013,36.59083333,M.D. of Smoky River No. 130
2014,22.1225,M.D. of Smoky River No. 130
2015,27.1475,M.D. of Smoky River No. 130
2016,44.74166667,M.D. of Smoky River No. 130
2017,34.5725,M.D. of Smoky River No. 130
2018,36.78583333,M.D. of Smoky River No. 130
2019,33.24166667,M.D. of Smoky River No. 130
2020,33.99833333,M.D. of Smoky River No. 130
2021,25.47833333,M.D. of Smoky River No. 130
2022,27.24916667,M.D. of Smoky River No. 130
2023,31.02,M.D. of Smoky River No. 130
2024,30.96833333,M.D. of Smoky River No. 130
2012,36.16083333,M.D. of Spirit River No. 133
2013,38.19916667,M.D. of Spirit River No. 133
2014,25.08583333,M.D. of Spirit River No. 133
2015,28.925,M.D. of Spirit River No. 133
2016,42.28166667,M.D. of Spirit River No. 133
2017,33.66583333,M.D. of Spirit River No. 133
2018,36.9175,M.D. of Spirit River No. 133
2019,28.49833333,M.D. of Spirit River No. 133
2020,35.6675,M.D. of Spirit River No. 133
2021,23.51083333,M.D. of Spirit River No. 133
2022,30.87,M.D. of Spirit River No. 133
2023,28.74083333,M.D. of Spirit River No. 133
2024,28.94333333,M.D. of Spirit River No. 133
2012,29.62583333,M.D. of Taber
2013,28.63666667,M.D. of Taber
2014,32.43416667,M.D. of Taber
2015,20.74166667,M.D. of Taber
2016,28.19,M.D. of Taber
2017,19.76416667,M.D. of Taber
2018,20.11916667,M.D. of Taber
2019,21.46166667,M.D. of Taber
2020,29.61416667,M.D. of Taber
2021,15.93833333,M.D. of Taber
2022,24.82166667,M.D. of Taber
2023,14.45166667,M.D. of Taber
2024,40.84166667,M.D. of Taber
2012,37.8075,M.D. of Wainwright No. 61
2013,25.98,M.D. of Wainwright No. 61
2014,32.19,M.D. of Wainwright No. 61
2015,29.82416667,M.D. of Wainwright No. 61
2016,34.72666667,M.D. of Wainwright No. 61
2017,36.13833333,M.D. of Wainwright No. 61
2018,28.69583333,M.D. of Wainwright No. 61
2019,28.13,M.D. of Wainwright No. 61
2020,34.26916667,M.D. of Wainwright No. 61
2021,19.40416667,M.D. of Wainwright No. 61
2022,31.81666667,M.D. of Wainwright No. 61
2023,20.32166667,M.D. of Wainwright No. 61
2024,33.615,M.D. of Wainwright No. 61
2012,36.94416667,M.D. of Willow Creek No. 26
2013,46.65583333,M.D. of Willow Creek No. 26
2014,45.23416667,M.D. of Willow Creek No. 26
2015,30.145,M.D. of Willow Creek No. 26
2016,36.57083333,M.D. of Willow Creek No. 26
2017,28.7575,M.D. of Willow Creek No. 26
2018,29.66916667,M.D. of Willow Creek No. 26
2019,38.405,M.D. of Willow Creek No. 26
2020,33.39666667,M.D. of Willow Creek No. 26
2021,27.81833333,M.D. of Willow Creek No. 26
2022,35.4575,M.D. of Willow Creek No. 26
2023,26.38333333,M.D. of Willow Creek No. 26
2024,42.88333333,M.D. of Willow Creek No. 26
2012,31.24833333,Mackenzie County
2013,36.36166667,Mackenzie County
2014,27.62416667,Mackenzie County
2015,28.25583333,Mackenzie County
2016,39.4375,Mackenzie County
2017,30.02833333,Mackenzie County
2018,31.96416667,Mackenzie County
2019,28.94916667,Mackenzie County
2020,41.78333333,Mackenzie County
2021,34.24333333,Mackenzie County
2022,30.4075,Mackenzie County
2023,20.39666667,Mackenzie County
2024,29.99833333,Mackenzie County
2012,40.70583333,Mountain View County
2013,43.48833333,Mountain View County
2014,41.60166667,Mountain View County
2015,36.37583333,Mountain View County
2016,40.23583333,Mountain View County
2017,29.77583333,Mountain View County
2018,31.69,Mountain View County
2019,38.74083333,Mountain View County
2020,40.06833333,Mountain View County
2021,27.0625,Mountain View County
2022,34.63166667,Mountain View County
2023,31.79,Mountain View County
2024,35.08333333,Mountain View County
2012,69.55333333,Municipality of Crowsnest Pass
2013,67.06166667,Municipality of Crowsnest Pass
2014,73.97583333,Municipality of Crowsnest Pass
2015,59.0775,Municipality of Crowsnest Pass
2016,49.3625,Municipality of Crowsnest Pass
2017,64.50666667,Municipality of Crowsnest Pass
2018,48.31166667,Municipality of Crowsnest Pass
2019,58.72916667,Municipality of Crowsnest Pass
2020,53.36583333,Municipality of Crowsnest Pass
2021,64.99083333,Municipality of Crowsnest Pass
2022,51.57916667,Municipality of Crowsnest Pass
2023,51.37333333,Municipality of Crowsnest Pass
2024,61.69333333,Municipality of Crowsnest Pass
2012,75.41583333,Municipality of Jasper
2013,66.60166667,Municipality of Jasper
2014,63.55083333,Municipality of Jasper
2015,67.62416667,Municipality of Jasper
2016,65.67,Municipality of Jasper
2017,62.7825,Municipality of Jasper
2018,62.40666667,Municipality of Jasper
2019,73.77583333,Municipality of Jasper
2020,72.62333333,Municipality of Jasper
2021,61.41583333,Municipality of Jasper
2022,57.115,Municipality of Jasper
2023,36.22833333,Northern Sunrise County
2024,41.80083333,Northern Sunrise County
2012,30.21666667,Northern Sunrise County
2013,29.27666667,Northern Sunrise County
2014,44.115,Northern Sunrise County
2015,29.17666667,Northern Sunrise County
2016,35.23583333,Northern Sunrise County
2017,37.54166667,Northern Sunrise County
2018,42.32333333,Northern Sunrise County
2019,27.38333333,Northern Sunrise County
2020,36.55916667,Northern Sunrise County
2021,30.66833333,Northern Sunrise County
2022,45.265,Northern Sunrise County
2012,45.13833333,Parkland County
2013,37.0975,Parkland County
2014,33.53333333,Parkland County
2015,30.86833333,Parkland County
2016,46.04916667,Parkland County
2017,40.21916667,Parkland County
2018,34.81166667,Parkland County
2019,44.22666667,Parkland County
2020,43.80166667,Parkland County
2021,29.57416667,Parkland County
2022,35.06583333,Parkland County
2023,37.5375,Parkland County
2024,28.44833333,Parkland County
2012,41.72333333,Ponoka County
2013,40.06083333,Ponoka County
2014,31.60166667,Ponoka County
2015,35.81583333,Ponoka County
2016,42.335,Ponoka County
2017,36.365,Ponoka County
2018,34.78416667,Ponoka County
2019,38.17666667,Ponoka County
2020,42.37583333,Ponoka County
2021,32.49833333,Ponoka County
2022,38.8875,Ponoka County
2023,29.58166667,Ponoka County
2024,30.38666667,Ponoka County
2012,36.97666667,Red Deer County
2013,37.30416667,Red Deer County
2014,37.75083333,Red Deer County
2015,34.11583333,Red Deer County
2016,40.56416667,Red Deer County
2017,29.84,Red Deer County
2018,28.64833333,Red Deer County
2019,30.9425,Red Deer County
2020,41.20666667,Red Deer County
2021,25.17416667,Red Deer County
2022,35.165,Red Deer County
2023,29.06666667,Red Deer County
2024,28.17333333,Red Deer County
2012,46.76666667,Regional Municipality of Wood Buffalo
2013,43.87,Regional Municipality of Wood Buffalo
2014,36.025,Regional Municipality of Wood Buffalo
2015,28.02833333,Regional Municipality of Wood Buffalo
2016,44.11583333,Regional Municipality of Wood Buffalo
2017,36.27083333,Regional Municipality of Wood Buffalo
2018,32.71166667,Regional Municipality of Wood Buffalo
2019,34.27416667,Regional Municipality of Wood Buffalo
2020,53.48833333,Regional Municipality of Wood Buffalo
2021,33.63666667,Regional Municipality of Wood Buffalo
2022,30.18416667,Regional Municipality of Wood Buffalo
2023,29.94,Regional Municipality of Wood Buffalo
2024,38.83166667,Regional Municipality of Wood Buffalo
2012,37.90166667,Rocky View County
2013,45.01916667,Rocky View County
2014,37.73083333,Rocky View County
2015,34.66416667,Rocky View County
2016,37.235,Rocky View County
2017,28.40333333,Rocky View County
2018,29.58666667,Rocky View County
2019,39.10166667,Rocky View County
2020,35.79583333,Rocky View County
2021,25.66083333,Rocky View County
2022,30.49333333,Rocky View County
2023,27.6575,Rocky View County
2024,41.13833333,Rocky View County
2012,38.53333333,Saddle Hills County
2013,45.59166667,Saddle Hills County
2014,31.21,Saddle Hills County
2015,35.78083333,Saddle Hills County
2016,50.43583333,Saddle Hills County
2017,40.67166667,Saddle Hills County
2018,43.43,Saddle Hills County
2019,35.56583333,Saddle Hills County
2020,40.6475,Saddle Hills County
2021,27.95333333,Saddle Hills County
2022,34.44833333,Saddle Hills County
2023,26.7125,Saddle Hills County
2024,25.86,Saddle Hills County
2012,36.385,Smoky Lake County
2013,30.52,Smoky Lake County
2014,33.91583333,Smoky Lake County
2015,27.76583333,Smoky Lake County
2016,41.20083333,Smoky Lake County
2017,38.46833333,Smoky Lake County
2018,34.5225,Smoky Lake County
2019,35.94083333,Smoky Lake County
2020,39.77416667,Smoky Lake County
2021,25.71916667,Smoky Lake County
2022,31.23666667,Smoky Lake County
2023,31.305,Smoky Lake County
2024,30.70666667,Smoky Lake County
2012,34.79666667,Special Areas 2
2013,25.19166667,Special Areas 2
2014,30.57,Special Areas 2
2015,25.22916667,Special Areas 2
2016,36.1975,Special Areas 2
2017,20.01583333,Special Areas 2
2018,23.50833333,Special Areas 2
2019,20.12833333,Special Areas 2
2020,26.85833333,Special Areas 2
2021,18.06583333,Special Areas 2
2022,24.57916667,Special Areas 2
2023,13.09833333,Special Areas 2
2024,32.83333333,Special Areas 2
2012,31.31583333,Special Areas 3
2013,23.26,Special Areas 3
2014,29.99666667,Special Areas 3
2015,21.005,Special Areas 3
2016,34.01416667,Special Areas 3
2017,20.56583333,Special Areas 3
2018,21.86083333,Special Areas 3
2019,20.97,Special Areas 3
2020,22.46666667,Special Areas 3
2021,17.05666667,Special Areas 3
2022,20.2,Special Areas 3
2023,12.2325,Special Areas 3
2024,33.67333333,Special Areas 3
2012,39.1375,Special Areas 4
2013,25.42416667,Special Areas 4
2014,31.91416667,Special Areas 4
2015,23.60166667,Special Areas 4
2016,34.54833333,Special Areas 4
2017,26.68333333,Special Areas 4
2018,24.65166667,Special Areas 4
2019,22.33666667,Special Areas 4
2020,28.265,Special Areas 4
2021,17.435,Special Areas 4
2022,27.095,Special Areas 4
2023,14.805,Special Areas 4
2024,41.57166667,Special Areas 4
2012,45.045,St. Albert
2013,32.44666667,St. Albert
2014,33.2075,St. Albert
2015,24.37583333,St. Albert
2016,36.60583333,St. Albert
2017,35.07333333,St. Albert
2018,34.25166667,St. Albert
2019,40.33083333,St. Albert
2020,39.26166667,St. Albert
2021,25.91666667,St. Albert
2022,31.12166667,St. Albert
2023,31.40416667,St. Albert
2024,32.79833333,St. Albert
2012,34.20666667,Starland County
2013,26.45916667,Starland County
2014,33.7225,Starland County
2015,30.8975,Starland County
2016,37.67833333,Starland County
2017,23.94666667,Starland County
2018,26.18083333,Starland County
2019,22.99333333,Starland County
2020,31.02333333,Starland County
2021,19.49083333,Starland County
2022,26.17833333,Starland County
2023,16.73833333,Starland County
2024,35.045,Starland County
2012,41.55333333,Strathcona County
2013,36.7075,Strathcona County
2014,32.34,Strathcona County
2015,29.2075,Strathcona County
2016,43.39166667,Strathcona County
2017,35.11666667,Strathcona County
2018,31.56416667,Strathcona County
2019,40.43916667,Strathcona County
2020,42.1175,Strathcona County
2021,24.58916667,Strathcona County
2022,31.96166667,Strathcona County
2023,34.48166667,Strathcona County
2024,33.54333333,Strathcona County
2012,41.66833333,Sturgeon County
2013,34.06666667,Sturgeon County
2014,31.3225,Sturgeon County
2015,25.05083333,Sturgeon County
2016,37.2075,Sturgeon County
2017,35.1325,Sturgeon County
2018,32.10166667,Sturgeon County
2019,39.73833333,Sturgeon County
2020,39.62,Sturgeon County
2021,24.86833333,Sturgeon County
2022,32.45,Sturgeon County
2023,34.12916667,Sturgeon County
2024,30.27333333,Sturgeon County
2012,29.67916667,Vulcan County
2013,27.67,Vulcan County
2014,29.07166667,Vulcan County
2015,26.42583333,Vulcan County
2016,28.70333333,Vulcan County
2017,22.43333333,Vulcan County
2018,21.69083333,Vulcan County
2019,23.28,Vulcan County
2020,26.80083333,Vulcan County
2021,18.74416667,Vulcan County
2022,25.95833333,Vulcan County
2023,16.46583333,Vulcan County
2024,41.43,Vulcan County
2012,36.78083333,Westlock County
2013,34.0825,Westlock County
2014,32.34333333,Westlock County
2015,25.5675,Westlock County
2016,42.78666667,Westlock County
2017,39.73833333,Westlock County
2018,33.49,Westlock County
2019,38.62333333,Westlock County
2020,36.665,Westlock County
2021,25.62666667,Westlock County
2022,32.10916667,Westlock County
2023,35.48833333,Westlock County
2024,28.46333333,Westlock County
2012,35.69416667,Wheatland County
2013,29.36083333,Wheatland County
2014,31.72083333,Wheatland County
2015,30.80166667,Wheatland County
2016,34.06166667,Wheatland County
2017,25.575,Wheatland County
2018,24.13833333,Wheatland County
2019,25.1025,Wheatland County
2020,29.97916667,Wheatland County
2021,20.58416667,Wheatland County
2022,28.52083333,Wheatland County
2023,17.90833333,Wheatland County
2024,36.505,Wheatland County
2012,50.91833333,Woodlands County
2013,46.04583333,Woodlands County
2014,36.54166667,Woodlands County
2015,34.1075,Woodlands County
2016,53.35166667,Woodlands County
2017,51.32916667,Woodlands County
2018,44.53416667,Woodlands County
2019,53.23583333,Woodlands County
2020,40.21416667,Woodlands County
2021,33.66833333,Woodlands County
2022,38.2775,Woodlands County
2023,45.45333333,Woodlands County
2024,38.79,Woodlands County
2012,59.07833333,Yellowhead County
2013,52.78166667,Yellowhead County
2014,44.135,Yellowhead County
2015,41.98416667,Yellowhead County
2016,51.0575,Yellowhead County
2017,50.4325,Yellowhead County
2018,49.38166667,Yellowhead County
2019,64.075,Yellowhead County
2020,47.19083333,Yellowhead County
2021,40.75833333,Yellowhead County
2022,46.09916667,Yellowhead County
2023,53.56083333,Yellowhead County
2024,39.84666667,Yellowhead County
